ID,Text,Colour,Position,Date,Pass_Ct,Rej_Ct
10535,荧光棒没有啦,green,Top,"12/29/2016, 8:38:48 PM",7,0
4644,表白zjt,blue,Bottom,"12/29/2016, 7:24:29 PM",7,1
11612,表白白白嫩嫩白白嫩嫩白白嫩嫩刘轶洲,white,Top,"12/29/2016, 8:58:10 PM",6,0
4796,表白刘强,red,Top,"12/29/2016, 7:25:33 PM",8,0
3666,曼联曼联曼联曼联曼联曼联曼联,blue,Top,"12/29/2016, 7:18:03 PM",5,1
7353,伉俪大法好！,white,Top,"12/29/2016, 7:57:09 PM",8,1
12181,sing for me！,white,Top,"12/29/2016, 9:15:49 PM",7,0
8821,李晔伟挺可爱的，严思怡不考虑一下吗,white,Top,"12/29/2016, 8:09:34 PM",8,1
69,苟全性命于乱世,blue,Bottom,"12/29/2016, 6:05:36 PM",2,0
5991,好听好听好听好听,white,Bottom,"12/29/2016, 7:46:34 PM",8,0
9182,清雅小公举！,white,Top,"12/29/2016, 8:13:54 PM",8,0
8988,朋友停一下，不要传播gay氛围,white,Top,"12/29/2016, 8:12:05 PM",5,3
7068,孟妈大法好,white,Top,"12/29/2016, 7:55:05 PM",8,1
437,我爱芭比！！,blue,Bottom,"12/29/2016, 6:21:14 PM",4,0
1300,吼啊,green,Top,"12/29/2016, 6:45:02 PM",10,0
9068,表白cjt,white,Top,"12/29/2016, 8:12:54 PM",8,0
10284,翁翼亭雷电法王掌控全场,white,Bottom,"12/29/2016, 8:23:43 PM",4,2
1328,zzp我爱你,blue,Top,"12/29/2016, 6:46:55 PM",10,1
9062,前排出售1805全員qq,white,Top,"12/29/2016, 8:12:48 PM",7,1
5571,他强任他强,white,Top,"12/29/2016, 7:44:02 PM",9,0
9235,李开明小王子,white,Top,"12/29/2016, 8:14:25 PM",8,0
8518,gzy我的,blue,Top,"12/29/2016, 8:05:25 PM",8,0
2596,表白少时！！！,white,Top,"12/29/2016, 7:07:26 PM",6,0
12207,我的朱正平！,red,Top,"12/29/2016, 9:16:20 PM",6,1
9071,代表hc表白yy,green,Top,"12/29/2016, 8:12:55 PM",8,0
7287,有时灵光一闪而过 牛顿也吃苹果哈哈哈哈哈哈哈,white,Top,"12/29/2016, 7:56:42 PM",9,0
